Part,Value,Device,Package,Description,Link to Part Website,Store Name,Quantity,Unit Price,Total Price,
C21,0.1uF,0.1UF-0402-16V-10%,402,0.1µF ceramic capacitors,http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,CAP-12416
C22,0.1uF,0.1UF-0402-16V-10%,402,0.1µF ceramic capacitors,http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,CAP-12416
C23,100uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/TDK/C3216JB1A107M160AC/?qs=sGAEpiMZZMs0AnBnWHyRQFv7x1xn%252bYFdXHBC%252bjlj0Z0DZ%2fNIvyRfig%3d%3d,Mouser,,$1.65,,
C24,100uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/TDK/C3216JB1A107M160AC/?qs=sGAEpiMZZMs0AnBnWHyRQFv7x1xn%252bYFdXHBC%252bjlj0Z0DZ%2fNIvyRfig%3d%3d,Mouser,,$1.65,,
C25,10pF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/Murata-Electronics/GRM0225C1C100JA03L/?qs=sGAEpiMZZMs0AnBnWHyRQCZFsEygxoaDSrXwiggp7%2fIXGPto0yNrPA%3d%3d,Mouser,,$0.10,,
C26,10pF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/Murata-Electronics/GRM0225C1C100JA03L/?qs=sGAEpiMZZMs0AnBnWHyRQCZFsEygxoaDSrXwiggp7%2fIXGPto0yNrPA%3d%3d,Mouser,,$0.10,,
C27,10uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/Murata-Electronics/GRM155R60J106ME44D/?qs=sGAEpiMZZMs0AnBnWHyRQIRdmwuhZOTQAJ7SYjABJ90%3d,Mouser,,0.27,,
C28,0.1uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,
C29,0.1uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,
C30,0.1uF,C-USC0402K,C0402K,"CAPACITOR, American symbol",http://www.mouser.com/ProductDetail/KEMET/C0402T104K4RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQG4nlryFpqk0iuldPAFqr2g%3d,Mouser,,$1.24,,
